id,name,lat,lon,type, fuel,region,country,status,capacity,emfpm10, pm10,emfpm25, pm25,emfso2, so2,emfnox, nox
CMB-1,Heidelberg Cement Bangladesh Ltd,23.71286,90.51543,grinding,,Dhaka Division,Bangladesh,operating,0,69.2,0,22.4,0,,,,
CMB-2,LafargeHolcim Bangladesh Ltd,23.611005,90.613007,grinding,,Dhaka Division,Bangladesh,operating,0,69.2,0,22.4,0,,,,
CMB-3,LafargeHolcim Bangladesh Ltd,22.504972,89.589503,grinding,,Khulna Division,Bangladesh,operating,0,69.2,0,22.4,0,,,,
CMB-4,Shun Shing Cement Mills Ltd,22.784672,89.581336,grinding,,Khulna Division,Bangladesh,operating,0,69.2,0,22.4,0,,,,
CMB-5,,22.515404,89.587142,grinding,,Khulna Division,Bangladesh,operating,0,69.2,0,22.4,0,,,,
CMB-6,,23.576689,90.508382,grinding,,Dhaka Division,Bangladesh,operating,0,69.2,0,22.4,0,,,,
CMB-7,,22.517834,89.585596,grinding,,Khulna Division,Bangladesh,operating,0,69.2,0,22.4,0,,,,
CMB-8,,23.568501,90.520327,grinding,,Dhaka Division,Bangladesh,operating,0,69.2,0,22.4,0,,,,
CMB-9,,22.503884,89.590302,grinding,,Khulna Division,Bangladesh,operating,0,69.2,0,22.4,0,,,,
CMB-10,,22.51778,89.585416,grinding,,Khulna Division,Bangladesh,operating,0,69.2,0,22.4,0,,,,
CMB-11,,22.652466,90.345293,grinding,,Barisal Division,Bangladesh,operating,0,69.2,0,22.4,0,,,,
CMB-12,,23.568618,90.524404,grinding,,Dhaka Division,Bangladesh,operating,1.86,69.2,0.128712,22.4,0.041664,,,,
CMB-13,,23.571925,90.521455,grinding,,Dhaka Division,Bangladesh,operating,0,69.2,0,22.4,0,,,,
CMB-14,,23.578555,90.513202,grinding,,Dhaka Division,Bangladesh,operating,2.4,69.2,0.16608,22.4,0.05376,,,,
CMB-15,,23.602161,90.624685,grinding,,Dhaka Division,Bangladesh,operating,0,69.2,0,22.4,0,,,,
